2021-08-27 07:16:58 install libmount1:amd64 <none> 2.34-0.1ubuntu9
2021-08-27 07:16:58 status half-installed libmount1:amd64 2.34-0.1ubuntu9
2021-08-27 07:16:59 status unpacked libmount1:amd64 2.34-0.1ubuntu9
2021-08-27 07:16:59 install libncurses6:amd64 <none> 6.2-0ubuntu2
2021-08-27 07:16:59 status half-installed libncurses6:amd64 6.2-0ubuntu2
2021-08-27 07:16:59 status unpacked libncurses6:amd64 6.2-0ubuntu2
2021-08-27 07:16:59 install libncursesw6:amd64 <none> 6.2-0ubuntu2
2021-08-27 07:16:59 status half-installed libncursesw6:amd64 6.2-0ubuntu2
2021-08-27 07:16:59 status unpacked libncursesw6:amd64 6.2-0ubuntu2
2021-08-27 07:16:59 install libpam-modules:amd64 <none> 1.3.1-5ubuntu4
2021-08-27 07:16:59 status half-installed libpam-modules:amd64 1.3.1-5ubuntu4
2021-08-27 07:16:59 status unpacked libpam-modules:amd64 1.3.1-5ubuntu4
2021-08-27 07:16:59 install libpam-modules-bin:amd64 <none> 1.3.1-5ubuntu4
2021-08-27 07:16:59 status half-installed libpam-modules-bin:amd64 1.3.1-5ubuntu4
2021-08-27 07:16:59 status unpacked libpam-modules-bin:amd64 1.3.1-5ubuntu4
2021-08-27 07:16:59 install libpam-runtime:all <none> 1.3.1-5ubuntu4
2021-08-27 07:16:59 status half-installed libpam-runtime:all 1.3.1-5ubuntu4
2021-08-27 07:16:59 status unpacked libpam-runtime:all 1.3.1-5ubuntu4
2021-08-27 07:16:59 install libpam0g:amd64 <none> 1.3.1-5ubuntu4
2021-08-27 07:16:59 status half-installed libpam0g:amd64 1.3.1-5ubuntu4
2021-08-27 07:16:59 status unpacked libpam0g:amd64 1.3.1-5ubuntu4
2021-08-27 07:16:59 install libpcre2-8-0:amd64 <none> 10.34-7
2021-08-27 07:16:59 status half-installed libpcre2-8-0:amd64 10.34-7
2021-08-27 07:16:59 status unpacked libpcre2-8-0:amd64 10.34-7
2021-08-27 07:16:59 install libpcre3:amd64 <none> 2:8.39-12build1
2021-08-27 07:16:59 status half-installed libpcre3:amd64 2:8.39-12build1
2021-08-27 07:16:59 status unpacked libpcre3:amd64 2:8.39-12build1
2021-08-27 07:16:59 install libprocps8:amd64 <none> 2:3.3.16-1ubuntu2
2021-08-27 07:16:59 status half-installed libprocps8:amd64 2:3.3.16-1ubuntu2
2021-08-27 07:16:59 status unpacked libprocps8:amd64 2:3.3.16-1ubuntu2
2021-08-27 07:16:59 install libselinux1:amd64 <none> 3.0-1build2
2021-08-27 07:16:59 status half-installed libselinux1:amd64 3.0-1build2
